d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
23,knnu mmr,20,0.6686500000000001,0.0057790456323732866,0.6661172215797043,0.6711827784202958,0.16035,0.0004893604849295902,0.16013552831127825,0.16056447168872173
23,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
23,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
23,svd mmr,20,0.5908,0.00170448325245359,0.5900529772778768,0.5915470227221232,0.223,0.0,0.223,0.223
23,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
24,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
24,knni mmr,20,0.78715,0.0046257289610452425,0.7851226848971322,0.7891773151028678,0.1622,0.0004103913408340644,0.1620201380646455,0.16237986193535453
24,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
24,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
24,knnu mmr,20,0.6672,0.0017350868323485983,0.6664395646676168,0.6679604353323833,0.1601,0.0004472135954999606,0.159904,0.160296
24,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
24,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
24,svd mmr,20,0.5904,0.0009403246919632677,0.5899878845332983,0.5908121154667018,0.22495000000000004,0.0002236067977499753,0.22485200000000005,0.22504800000000003
24,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
25,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
25,knni mmr,20,0.7967500000000001,0.00733323365163512,0.7935360686477708,0.7999639313522293,0.16115,0.0004893604849295931,0.16093552831127825,0.16136447168872173
25,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
25,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
25,knnu mmr,20,0.6486500000000001,0.0016944180805158326,0.6479073885339738,0.6493926114660263,0.15745,0.0005104177855340352,0.15722629954238573,0.15767370045761428
25,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
25,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
25,svd mmr,20,0.5784,0.005113449757360728,0.5761589318336303,0.5806410681663697,0.2239,0.0003077935056255462,0.22376510354848408,0.2240348964515159
25,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
26,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
26,knni mmr,20,0.769,0.008423026084552544,0.7653084460553425,0.7726915539446575,0.1613,0.00047016234598162154,0.16109394226664916,0.16150605773335083
